Rk,Name,Age,PA,Tm,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,Name-additional
550,Hunter Renfroe,31,44,CIN,-4.7,-0.5,44,-0.4,0.5,-0.9,1.03,-0.4,0,-0.30%,0.40%,-0.70%,1.36,0.00%,-4.6,-0.4,0.91,-5.1,2.5,4,renfrhu01
551,Luis Rengifo#,26,445,LAA,6,0.6,461,1.1,8.4,-7.4,0.98,0.5,0.6,-0.10%,3.50%,-3.60%,0.76,-0.30%,4.2,0.4,0.92,2,1.83,11,rengilu01
552,Franmil Reyes,27,65,KCR,-4.8,-0.5,66,-0.9,0.7,-1.6,1.08,-0.6,-0.2,-0.30%,0.30%,-0.60%,0.68,0.00%,-7.4,-0.7,0.95,-7.3,3.46,2,reyesfr01
553,Pablo Reyes,29,185,BOS,-1.3,-0.1,198,0.7,3.5,-2.9,0.94,0,0.7,0.20%,1.20%,-1.00%,0.54,0.30%,5.4,0.5,0.95,0.4,1.36,2,reyespa01
554,Bryan Reynolds#,28,640,PIT,10.4,1,659,0.4,11.3,-10.9,0.97,1,-0.6,0.20%,3.80%,-3.60%,0.54,0.00%,17,1.6,0.92,7.4,0.67,2,reynobr01
555,Matt Reynolds,32,5,CIN,-0.7,-0.1,5,-0.1,0,-0.2,1.52,-0.1,0,0.00%,0.00%,-0.10%,0.97,0.00%,-0.5,0,0.86,-0.6,,0,reynoma03
556,Austin Riley,26,715,ATL,24.7,2.4,727,1.9,13.1,-11.2,0.89,2.1,0.1,0.90%,5.70%,-4.80%,0.64,0.30%,12.3,1.2,0.93,25.3,,0,rileyau01
557,Edwin Ríos*,29,34,CHC,-3.1,-0.3,34,-0.1,0.4,-0.5,0.88,-0.3,0.2,0.00%,0.20%,-0.30%,0.8,0.10%,-2.5,-0.2,0.84,-3.3,1.6,4,riosed01
558,Alfonso Rivas III*,26,123,TOT,-0.3,0,126,0.1,1.9,-1.8,0.84,0.1,0,0.00%,0.10%,-0.10%,0.07,-0.20%,-1.3,-0.1,0.9,-1.2,0.71,3,rivasal01
559,Alfonso Rivas III*,26,17,SDP,-0.4,0,18,-0.1,0.1,-0.2,0.52,0,-0.2,0.00%,0.00%,-0.10%,0.26,-0.10%,-0.7,-0.1,0.98,-0.6,,0,rivasal01
560,Alfonso Rivas III*,26,106,PIT,0.1,0,108,0.2,1.8,-1.6,0.89,0.1,0.1,0.00%,0.00%,0.00%,0.04,0.10%,-0.6,-0.1,0.88,-0.6,0.71,3,rivasal01
561,Emmanuel Rivera,27,283,ARI,-5.3,-0.5,289,-0.3,4.8,-5.1,1,-0.8,0.5,-0.10%,3.90%,-4.00%,1.32,0.40%,-8.3,-0.8,0.92,-8.3,1.59,14,riverem01
562,Anthony Rizzo*,33,421,NYY,-3.2,-0.3,425,-1,6.4,-7.4,0.94,-0.6,-0.4,-0.70%,3.60%,-4.30%,0.91,-0.40%,-3.6,-0.4,0.89,-0.6,,0,rizzoan01
563,Luis Robert Jr.,25,595,CHW,19.4,1.9,620,2.7,13.2,-10.5,0.99,2.6,0.1,0.30%,2.50%,-2.20%,0.34,-0.20%,16.5,1.6,0.9,29.5,1.27,1,roberlu01
564,Víctor Robles,26,126,WSN,2.2,0.2,139,-0.5,2,-2.4,1.08,0.2,-0.7,-0.20%,0.70%,-0.90%,0.67,-0.40%,-0.9,-0.1,0.99,1.2,,0,roblevi01
565,Brayan Rocchio#,22,86,CLE,-3.3,-0.3,88,-0.6,1.4,-2,1.13,-0.4,-0.2,-0.30%,0.50%,-0.80%,0.68,-0.20%,-6.4,-0.6,0.88,-5.1,1.31,2,rocchbr01
566,Brendan Rodgers,26,192,COL,-5.6,-0.6,198,-0.7,3.1,-3.8,0.99,-0.4,-0.3,0.00%,0.00%,0.00%,0,,-4.5,-0.4,0.93,-5.4,,0,rodgebr02
567,Endy Rodríguez#,23,204,PIT,-8.8,-0.9,205,-1,2.8,-3.8,0.96,-1.1,0,0.00%,0.10%,-0.10%,0.04,0.10%,-14.1,-1.4,0.92,-13,1.58,9,rodrien01
568,Julio Rodríguez,22,714,SEA,24,2.4,774,2.2,15.9,-13.7,1.11,2.7,-0.7,1.20%,11.50%,-10.30%,1.36,-0.80%,33.8,3.4,0.99,29.7,,0,rodriju01
